Species,Prey,Rep,Light,ngC_cell
MC,CM,A,10,0.954
MC,CM,B,10,0.963
MC,CM,C,10,1.08
MC,HP,A,10,0.48
MC,HP,B,10,0.67
MC,HP,C,10,0.651
MC,RS,A,10,0.576
MC,RS,B,10,0.626
MC,RS,C,10,0.794
MC,SM,A,10,0.704
MC,SM,B,10,0.611
MC,SM,C,10,0.834
CM,ctrl,A,10,0.0431
CM,ctrl,B,10,0.035
CM,ctrl,C,10,0.0379
HP,ctrl,A,10,0.029
HP,ctrl,B,10,0.0365
HP,ctrl,C,10,0.0436
RS,ctrl,A,10,0.0567
RS,ctrl,B,10,0.0635
RS,ctrl,C,10,0.0548
SM,ctrl,A,10,0.0798
SM,ctrl,B,10,0.0755
SM,ctrl,C,10,0.0822
