Expt,MCstrain,Prey,Light,Fed,Rep,muMC,fedgrowthdelta,muPrey,muPreyCtrl,MC_init,Prey_init,mean_MC,mean_Prey,g,ingestion,ingest_2
,1802,HP,10,Y,B,0.290152565,0.062143872,-0.516642717,0.784146758,871,3963,1011.020586,3094.575687,1.300789475,3.98151288,3.568814358
,1802,HP,10,Y,C,0.33392173,0.113699317,-0.256134834,0.636229818,758.33,2887.5,900.2977903,2547.355367,0.892364651,2.524908878,2.561933207
,1802,HP,10,N,A,0.157806991,,NaN,,,,,,,,
,1802,HP,10,N,B,0.228008694,,NaN,,,,,,,,
,1802,HP,10,N,C,0.220222414,,NaN,,,,,,,,
,1802,CM,100,Y,A,0.423210364,0.545930727,0.373065851,1.115824418,321.43,4950,400.1470936,5999.720469,0.742758567,11.13676408,10.70167836
,1802,CM,100,Y,B,0.386032242,0.422745481,0.495050334,1.014730805,321.43,4300,392.2867111,5564.075632,0.519680471,7.370990047,8.393292452
,1802,CM,100,Y,C,0.48242664,0.50149514,0.421202541,1.129864832,364.29,5250,468.1694869,6528.717994,0.708662291,9.882438687,9.281984131
,1802,CM,100,N,A,-0.122720363,,NaN,,,,,,,,
,1802,CM,100,N,B,-0.036713238,,NaN,,,,,,,,
,1802,CM,100,N,C,-0.019068499,,NaN,,,,,,,,
,1802,CM,50,Y,A,0.41948765,0.337971946,0.406566175,0.802706881,614.29,5716.67,763.2039795,7053.661516,0.396140706,3.661200053,3.326189206
,1802,CM,50,Y,B,0.37085101,0.268251301,0.311517664,0.837425089,785.71,5883.33,951.2173735,6902.768277,0.525907425,3.81639065,3.301404507
,1802,CM,50,Y,C,0.41436443,0.307715118,0.377043137,0.659244465,733.33,5050,908.619519,6133.872056,0.282201328,1.905073361,2.628851653
,1802,CM,50,N,A,0.081515704,,NaN,,,,,,,,
,1802,CM,50,N,B,0.102599708,,NaN,,,,,,,,
,1802,CM,50,N,C,0.106649312,,NaN,,,,,,,,
,1802,CM,10,Y,A,0.103009176,-0.030522217,-0.184023291,0.46741149,814.29,4316.67,857.7030756,3942.765891,0.651434781,2.994573423,3.089337742
,1802,CM,10,Y,B,0.085979123,0.054857969,-0.177063586,0.546090699,750,4200,783.1864313,3849.174479,0.723154285,3.554130801,3.268758477
,1802,CM,10,Y,C,0.098437025,-0.035694969,-0.366183947,0.450576922,692.86,5850,728.105575,4898.507514,0.816760869,5.494957587,5.746907868
,1802,CM,10,N,A,0.133531393,,NaN,,,,,,,,
,1802,CM,10,N,B,0.031121154,,NaN,,,,,,,,
,1802,CM,10,N,C,0.134131993,,NaN,,,,,,,,
