Expt,MCstrain,Prey,Light,Fed,Rep,ExptDay,MeanCells,CountVol,CF,CellCount,ChlExtr,ChlVol,ChlpmL,ChlpCell,lnCells,Mu,Timestamp,Fv.Fm,Fm,Pmax,Pmax.err,Pmax.p,a,a.err,a.p,Ek,P_I
,Ctrl,HP,10,NA,B,1,285.50,20.0,1.00,14275.00,11.1338,4,13.92,0.975,9.566,0.784,63295,0.575,10021,53.53772582,0.616079416,4.51E-25,1.671491804,0.076687963,2.17E-14,32.02990628,16.19219938
,Ctrl,HP,10,NA,B,2,43.50,2.0,1.00,21750.00,14.4168,4,18.02,0.829,9.987,0.603,64318,0.578,14603,54.3415082,0.409742363,2.26E-28,1.76584309,0.053949208,1.72E-17,30.77369021,17.06206376
,Ctrl,HP,10,NA,B,4,17.67,0.3,0.60,35575.78,23.1804,4,28.98,0.814,10.479,0.404,49078,0.59,26806,45.93739965,0.604848343,5.07E-24,1.48739146,0.079240238,2.87E-13,30.88453906,14.37504183
,Ctrl,HP,10,NA,B,6,22.00,0.3,0.60,44301.91,30.0278,4,37.53,0.847,10.699,0.298,52729,0.52,43070,-31.10772473,0.259211837,1.37E-27,1.39237642,0.052160582,6.28E-16,-22.3414619,13.06284265
,Ctrl,HP,10,NA,B,8,24.17,0.3,0.60,48664.98,32.2924,4,40.37,0.829,10.793,0.230,65780,0.522,3181,-23.44636105,0.809445409,1.49E-16,0.989420239,0.150991052,3.71E-06,-23.69707039,9.345911195
,Ctrl,HP,10,NA,B,10,21.00,0.3,0.60,42288.19,30.9926,4,38.74,0.916,10.652,0.170,53294,0.498,3245,-9.984166954,0.44348017,5.64E-13,1.453947343,0.447407525,0.005386442,-6.866938477,8.955023094
,Ctrl,HP,10,NA,B,12,14.83,0.3,0.60,29870.23,30.6308,4,38.29,1.282,10.305,0.115,50859,0.456,3026,7.452784233,0.579067627,3.79E-09,1.619315101,1.13092098,0.174131671,4.602429897,7.262012379
,Ctrl,HP,10,NA,B,14,26.00,0.3,0.60,52356.81,28.6074,4,35.76,0.683,10.866,0.104,62378,0.425,2416,NA,NA,NA,NA,NA,NA,NA,NA
,Ctrl,HP,10,NA,C,0,122.00,20.0,1.00,6100.00,7.7704,4,9.71,1.592,8.716,,64187,0.565,7405,45.35915235,0.852412311,2.98E-21,1.167342909,0.079740305,1.94E-11,38.85675065,11.4223608
,Ctrl,HP,10,NA,C,1,230.50,20.0,1.00,11525.00,11.844,4,14.81,1.285,9.352,0.636,63806,0.573,9980,51.93457506,0.680938835,4.70E-24,1.545632221,0.079152698,1.46E-13,33.60086206,15.01559489
,Ctrl,HP,10,NA,C,2,40.33,2.0,1.00,20166.67,14.0014,4,17.50,0.868,9.912,0.598,64808,0.579,14453,53.18866152,0.521926963,2.58E-26,1.668535204,0.065407756,1.39E-15,31.87745839,16.15874459
,Ctrl,HP,10,NA,C,4,12.83,0.3,0.60,25842.78,21.5322,4,26.92,1.041,10.160,0.351,49554,0.592,26380,47.48976494,0.847420939,1.18E-21,1.393087008,0.096464092,2.43E-11,34.08959,13.54457228
,Ctrl,HP,10,NA,C,6,22.83,0.3,0.60,45980.02,31.0596,4,38.82,0.844,10.736,0.308,53318,0.533,45535,-36.384328,0.381912247,8.65E-26,1.381250164,0.062061105,1.51E-14,-26.34159181,13.18510455
,Ctrl,HP,10,NA,C,8,21.17,0.3,0.60,42623.81,33.3242,4,41.66,0.977,10.660,0.234,66458,0.52,3439,-22.65339557,0.643833534,4.76E-18,0.953386388,0.119681404,2.60E-07,-23.7609807,9.008191763
,Ctrl,HP,10,NA,C,10,27.00,0.3,0.60,54370.53,33.0696,4,41.34,0.760,10.904,0.198,53738,0.509,3462,-11.57594347,0.402068981,1.66E-16,1.302750201,0.297642958,0.000363587,-8.885773697,9.369998219
,Ctrl,HP,10,NA,C,12,18.83,0.3,0.60,37925.12,24.4266,4,30.53,0.805,10.543,0.148,51382,0.481,3347,-7.045184418,0.859378173,1.03E-06,1.496452071,1.605630428,0.36713004,-4.707925203,6.846662103
,Ctrl,HP,10,NA,C,14,22.33,0.3,0.60,44973.15,32.5604,4,40.70,0.905,10.714,0.122,62873,0.435,2735,11.15505197,3.127360126,0.00280997,0.384736718,0.3917081,0.341577965,28.9939885,3.701737635
